127.0.0.1 - - [22/Sep/2019:23:36:16 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:18 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:19 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:23 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:25 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:36:28 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:20 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:20 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 37326
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:20 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:20 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:21 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:21 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [22/Sep/2019:23:52:21 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 37326
