127.0.0.1 - - [17/Oct/2019:21:04:38 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/pages/site/gerneral/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:47 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:51 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:04:51 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:08 -0300] "POST /ProjetoTrilhaWeb/rest/produto/inserir HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:08 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_444444_256x240.png HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:08 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_777777_256x240.png HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:14 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:14 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:06:14 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:10:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:10:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:21:10:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
